"sample_name","weight_g","location","notes"
"target","10",,
"anoxia_001","9.99","upland-A",
"anoxia_002","9.98","upland-A",
"anoxia_003","9.99","upland-A",
"anoxia_004","10.01","upland-A",
"anoxia_005","10.03","upland-A",
"anoxia_006","9.97","upland-B",
"anoxia_007","9.96","upland-B",
"anoxia_008","9.98","upland-B",
"anoxia_009","10.03","upland-B",
"anoxia_010","10","upland-B",
"anoxia_011","9.97","transition-A",
"anoxia_012","10","transition-A",
"anoxia_013","10","transition-A",
"anoxia_014","9.99","transition-A",
"anoxia_015","10.05","transition-A",
"anoxia_016","10.01","wetland-A",
"anoxia_017","10.01","wetland-A",
"anoxia_018","9.98","wetland-A",
"anoxia_019","9.97","wetland-A",
"anoxia_020","10.04","wetland-A",
"anoxia_021",,"blank-filter",
"anoxia_022","10.04","upland-A",
"anoxia_023","9.95","upland-A",
"anoxia_024","10.03","upland-A",
"anoxia_025","10.05","upland-A",
"anoxia_026","10","upland-A",
"anoxia_027","10.04","upland-B",
"anoxia_028","10","upland-B",
"anoxia_029","9.97","upland-B",
"anoxia_030","10.03","upland-B",
"anoxia_031","10.03","upland-B",
"anoxia_032","10.04","transition-A",
"anoxia_033","10.03","transition-A",
"anoxia_034","10.01","transition-A",
"anoxia_035","9.97","transition-A",
"anoxia_036","10.02","transition-A",
"anoxia_037","9.99","wetland-A",
"anoxia_038","9.97","wetland-A",
"anoxia_039","10.02","wetland-A",
"anoxia_040","9.96","wetland-A",
"anoxia_041","9.95","wetland-A",
"anoxia_042",,"blank-filter",
"anoxia_043","10.04","upland-A",
"anoxia_044","9.98","upland-A",
"anoxia_045","10.01","upland-A",
"anoxia_046","10.05","upland-A",
"anoxia_047","9.97","upland-A",
"anoxia_048","10","upland-B",
"anoxia_049","10.01","upland-B",
"anoxia_050","9.99","upland-B",
"anoxia_051","10.02","upland-B",
"anoxia_052","10","upland-B",
"anoxia_053","10.03","transition-A",
"anoxia_054","10.06","transition-A",
"anoxia_055","10.08","transition-A",
"anoxia_056","10.05","transition-A",
"anoxia_057","9.95","transition-A",
"anoxia_058","10.02","wetland-A",
"anoxia_059","10","wetland-A",
"anoxia_060","9.99","wetland-A",
"anoxia_061","9.98","wetland-A",
"anoxia_062","9.99","wetland-A",
"anoxia_063",,"blank-filter",
"anoxia_064","10.05","upland-A",
"anoxia_065","10","upland-A",
"anoxia_066","10","upland-A",
"anoxia_067","9.95","upland-A",
"anoxia_068","9.99","upland-A",
"anoxia_069","10.02","upland-B",
"anoxia_070","10","upland-B",
"anoxia_071","10","upland-B",
"anoxia_072","10.01","upland-B",
"anoxia_073","10.02","upland-B",
"anoxia_074","9.94","transition-A",
"anoxia_075","10.1","transition-A",
"anoxia_076","10.03","transition-A",
"anoxia_077","10","transition-A",
"anoxia_078","10.09","transition-A",
"anoxia_079","10","wetland-A",
"anoxia_080","10","wetland-A",
"anoxia_081","10.01","wetland-A",
"anoxia_082","10.01","wetland-A",
"anoxia_083","9.98","wetland-A",
"anoxia_084",,"blank-filter",
"anoxia_085","9.97","upland-A","weigh these first"
"anoxia_086","10.01","upland-A",
"anoxia_087","10.03","upland-A",
"anoxia_088","9.99","upland-B",
"anoxia_089","10.02","upland-B",
"anoxia_090","9.96","upland-B",
"anoxia_091","10.01","transition-A",
"anoxia_092","10","transition-A",
"anoxia_093","9.98","transition-A",
"anoxia_094","9.97","wetland-A",
"anoxia_095","10.02","wetland-A",
"anoxia_096","9.99","wetland-A",
"anoxia_097",,"blank-filter",
,,,
,"10.04","upland-A","after the sets above are done, continue weighing 10 g into tubes from the leftover material"
,"9.98","upland-A","record the weights here and also on the tubes"
,"10.01","upland-A",
,"10.05","upland-A","I have added 6 rows, but you may not be able to fill all 6. do as much as possible."
,,"upland-A",
,,"upland-A",
,"9.99","upland-B",
,"10.01","upland-B",
,"10.03","upland-B",
,"10.01","upland-B",
,,"upland-B",
,,"upland-B",
,"10.03","transition-A",
,"10.07","transition-A",
,"10.03","transition-A",
,"10.03","transition-A",
,,"transition-A",
,,"transition-A",
,"9.99","wetland-A",
,"9.97","wetland-A",
,"10.02","wetland-A",
,"10","wetland-A",
,"9.98","wetland-A",
,"10.03","wetland-A",
